AirportName,MostFrequentReason,NumberOfCancellations
"Aberdeen, SD: Aberdeen Regional",Weather,1
"Abilene, TX: Abilene Regional",Weather,1
"Aguadilla, PR: Rafael Hernandez",Weather,1
"Akron, OH: Akron-Canton Regional",Weather,2
"Albany, NY: Albany International",Weather,2
"Albuquerque, NM: Albuquerque International Sunport",Weather,6
"Alexandria, LA: Alexandria International",Weather,2
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Weather,5
"Alpena, MI: Alpena County Regional",Weather,2
"Amarillo, TX: Rick Husband Amarillo International",Weather,2
"Anchorage, AK: Ted Stevens Anchorage International",Weather,8
"Appleton, WI: Appleton International",Weather,38
"Asheville, NC: Asheville Regional",Weather,4
"Ashland, WV: Tri-State/Milton J. Ferguson Field",Weather,1
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,61
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Weather,40
"Atlantic City, NJ: Atlantic City International",Weather,1
"Augusta, GA: Augusta Regional at Bush Field",Weather,3
"Austin, TX: Austin - Bergstrom International",Weather,23
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Weather,15
"Bangor, ME: Bangor International",Weather,3
"Barrow, AK: Wiley Post/Will Rogers Memorial",Weather,1
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Weather,7
"Beaumont/Port Arthur, TX: Jack Brooks Regional",Weather,2
"Belleville, IL: Scott AFB/MidAmerica",Weather,3
"Bellingham, WA: Bellingham International",Weather,5
"Bemidji, MN: Bemidji Regional",Weather,2
"Bend/Redmond, OR: Roberts Field",Weather,33
"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",Carrier,1
"Birmingham, AL: Birmingham-Shuttlesworth International",Weather,4
"Bismarck/Mandan, ND: Bismarck Municipal",Weather,2
"Boise, ID: Boise Air Terminal",Weather,17
"Boston, MA: Logan International",Weather,111
"Bozeman, MT: Bozeman Yellowstone International",Carrier,2
"Brainerd, MN: Brainerd Lakes Regional",Weather,3
"Brownsville, TX: Brownsville South Padre Island International",Weather,5
"Buffalo, NY: Buffalo Niagara International",Weather,4
"Buffalo, NY: Buffalo Niagara International","National Air System",4
"Burbank, CA: Bob Hope",Carrier,8
"Burlington, VT: Burlington International",Weather,3
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",Weather,46
"Charleston, SC: Charleston AFB/International",Carrier,5
"Charleston, SC: Charleston AFB/International",Weather,5
"Charlotte Amalie, VI: Cyril E King",Carrier,1
"Charlotte, NC: Charlotte Douglas International",Weather,49
"Chattanooga, TN: Lovell Field",Weather,2
"Chicago, IL: Chicago Midway International",Weather,25
"Chicago, IL: Chicago O'Hare International",Weather,81
"Christiansted, VI: Henry E. Rohlsen",Carrier,1
"Cincinnati, OH: Cincinnati/Northern Kentucky International",Weather,14
"Clarksburg/Fairmont, WV: North Central West Virginia","National Air System",1
"Cleveland, OH: Cleveland-Hopkins International",Weather,16
"College Station/Bryan, TX: Easterwood Field",Weather,3
"Colorado Springs, CO: City of Colorado Springs Municipal",Weather,3
"Columbia, MO: Columbia Regional",Weather,1
"Columbia, SC: Columbia Metropolitan",Weather,3
"Columbus, GA: Columbus Airport","National Air System",1
"Columbus, GA: Columbus Airport",Carrier,1
"Columbus, OH: John Glenn Columbus International",Weather,5
"Columbus, OH: Rickenbacker International","National Air System",1
"Cordova, AK: Merle K Mudhole Smith",Carrier,1
"Corpus Christi, TX: Corpus Christi International",Weather,1
"Dallas, TX: Dallas Love Field",Weather,34
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Weather,518
"Dayton, OH: James M Cox/Dayton International",Weather,6
"Deadhorse, AK: Deadhorse Airport",Weather,3
"Denver, CO: Denver International",Weather,63
"Des Moines, IA: Des Moines International",Weather,5
"Detroit, MI: Detroit Metro Wayne County",Weather,38
"Devils Lake, ND: Devils Lake Regional",Weather,2
