FlightDate,AvgFlightsLast3Days
NULL,NULL
2024-12-01,1.0000
2024-12-02,10882.5000
2024-12-03,14369.0000
2024-12-04,20366.3333
2024-12-05,19007.6667
2024-12-06,18339.3333
2024-12-07,18837.3333
2024-12-08,18344.3333
2024-12-09,18531.6667
2024-12-10,18528.0000
2024-12-11,19015.0000
2024-12-12,18331.0000
2024-12-13,18360.6667
2024-12-14,19229.0000
2024-12-15,18696.6667
2024-12-16,18870.3333
2024-12-17,18622.3333
2024-12-18,19220.6667
2024-12-19,18690.6667
2024-12-20,18988.0000
2024-12-21,19826.6667
2024-12-22,20158.6667
2024-12-23,20124.3333
2024-12-24,20071.3333
2024-12-25,18768.6667
2024-12-26,17222.6667
2024-12-27,17180.0000
2024-12-28,18752.3333
2024-12-29,20012.6667
2024-12-30,19989.0000
2024-12-31,19991.6667
